"LSOA2021","INCN","EMPN","ESTN","HDDN","CRMN","BHSN","LIVN","CYPN","ADSN","INDN","OUTN"
"E01004766",0.426966292134831,0.295620437956204,0.197121416566058,0.559813463098135,0.714917127071823,0.215402151949016,0.617673941078516,0.347129008202834,0.466321243523316,0.752432069775243,0.631564772421223
"E01004767",0.340823970037453,0.25,0.182101176526288,0.43978102189781,0.565303867403315,0.103607882419993,0.392179694249333,0.34862043251305,0.443868739205527,0.607849714860785,0.528683005655804
"E01004768",0.0461922596754057,0.0766423357664234,0.0337925810193405,0.244931062449311,0.421436464088398,0.317939241118461,0.0627527576406366,0.280014914243102,0.202072538860104,0.297886615229789,0.192028009695664
"E01004769",0.116104868913858,0.124087591240876,0.0651232156807045,0.37124898621249,0.343867403314917,0.237197975855339,0.14304673903517,0.266778523489933,0.27979274611399,0.431734317343174,0.190681389711823
"E01004770",0.147315855181024,0.162408759124088,0.100620221101721,0.253244120032441,0.395138121546961,0.208441995820452,0.286406490628404,0.274794929157345,0.341968911917098,0.556189198255619,0.386749259359009
"E01004771",0.119850187265918,0.111313868613139,0.0349288639537912,0.287712895377129,0.384309392265193,0.155005958446314,0.180745971528378,0.162938105891126,0.236614853195164,0.458906407245891,0.287907352545112
"E01004772",0.543071161048689,0.476277372262774,0.341950145586251,0.57360097323601,0.591823204419889,0.208580162691491,0.0675355895278519,0.533370618941089,0.526770293609672,0.323045957732305,0.0991112308106652
"E01004773",0.234706616729089,0.14963503649635,0.155457708969533,0.348337388483374,0.498121546961326,0.111656102657985,0.354292654221287,0.339858314690529,0.407599309153713,0.56759476685676,0.529760301642876
"E01004774",0.445692883895131,0.341240875912409,0.281028809506901,0.538726682887267,0.639558011049724,0.170100689107269,0.431105935970151,0.500559284116331,0.476683937823834,0.653136531365314,0.513870185833558
"E01004775",0.103620474406991,0.0967153284671533,0.0411192386904339,0.286901865369019,0.318895027624309,0.295193519973748,0.223653732987767,0.315809097688292,0.202072538860104,0.397853069439785,0.532992189604094
"E01004776",0.282147315855181,0.273722627737226,0.233600833274152,0.518248175182482,0.323314917127072,0.354726170532461,0.335011080644555,0.484153616703952,0.424870466321244,0.589064072458906,0.435227578777269
"E01004777",0.355805243445693,0.295620437956204,0.269689652723528,0.53507704785077,0.607734806629834,0.243640006217509,0.389287458212823,0.553131991051454,0.404145077720207,0.603824220060382,0.531376245623485
"E01004778",0.114856429463171,0.156934306569343,0.120363137087802,0.441403081914031,0.277569060773481,0.299096734080586,0.155679925878626,0.418158090976883,0.298791018998273,0.406910432740691,0.338540263937517
