"LSOA2021","LAD2024","LSOA_NAME_2021","LAD_NAME_2024","IMD_RANK","IMD_DECILE","IDACI_RANK","IDACI_DECILE","IDAOPI_RANK","IDAOPI_DECILE","EST_RANK","EST_DECILE","CYP_RANK","CYP_DECILE","ADS_RANK","ADS_DECILE","BHS_RANK","BHS_DECILE","GEO_RANK","GEO_DECILE","WID_RANK","WID_DECILE","LIV_RANK","LIV_DECILE","IND_RANK","IND_DECILE","OUT_RANK","OUT_DECILE","IMD","INC","EMP","EST","HDD","CRM","BHS","LIV","IDACI","IDAOPI","CYP","ADS","GEO","WID","IND","OUT","INCN","EMPN","ESTN","HDDN","CRMN","BHSN","LIVN","CYPN","ADSN","INDN","OUTN"
"E01004766","E08000001","Bolton 005A","Bolton",6907,3,8162,3,8581,3,16724,5,27065,9,9469,3,23488,7,27429,9,10445,4,2280,1,3034,1,4770,2,33.083,0.353,0.169,16.747,0.791,1.285,15.516,49.793,0.496,0.289,-0.75,0.292,21.682,1.337,0.905,0.808,0.426966292134831,0.295620437956204,0.197121416566058,0.559813463098135,0.714917127071823,0.215402151949016,0.617673941078516,0.347129008202834,0.466321243523316,0.752432069775243,0.631564772421223
"E01004767","E08000001","Bolton 005B","Bolton",13203,4,9172,3,11113,4,17748,6,26966,8,10666,4,30991,10,25017,8,20483,7,8418,3,7882,3,8795,3,21.929,0.284,0.144,15.478,0.199,0.608,9.043,31.783,0.469,0.236,-0.742,0.279,24.662,-1.004,0.474,0.426,0.340823970037453,0.25,0.182101176526288,0.43978102189781,0.565303867403315,0.103607882419993,0.392179694249333,0.34862043251305,0.443868739205527,0.607849714860785,0.528683005655804
"E01004768","E08000001","Bolton 001A","Bolton",30794,10,32313,10,31155,10,30612,10,30390,10,28913,9,15119,5,11170,4,15152,5,28940,9,25296,8,29591,9,5.081,0.048,0.049,2.948,-0.762,-0.043,21.453,5.472,0.065,0.043,-1.11,0.139,39.063,0.149,-0.45,-0.824,0.0461922596754057,0.0766423357664234,0.0337925810193405,0.244931062449311,0.421436464088398,0.317939241118461,0.0627527576406366,0.280014914243102,0.202072538860104,0.297886615229789,0.192028009695664
"E01004769","E08000001","Bolton 003A","Bolton",27111,9,26190,8,28514,9,27542,9,30882,10,22511,7,21653,7,17446,6,14758,5,21917,7,16821,5,29665,9,8.287,0.104,0.075,5.595,-0.139,-0.394,16.778,11.885,0.158,0.058,-1.181,0.184,32.269,0.235,-0.051,-0.829,0.116104868913858,0.124087591240876,0.0651232156807045,0.37124898621249,0.343867403314917,0.237197975855339,0.14304673903517,0.266778523489933,0.27979274611399,0.431734317343174,0.190681389711823
"E01004770","E08000001","Bolton 003B","Bolton",24397,8,21069,7,27922,9,24137,8,30600,10,17402,6,24004,8,19474,6,15337,5,13053,4,10143,4,17492,6,10.49,0.129,0.096,8.594,-0.721,-0.162,15.113,23.335,0.229,0.062,-1.138,0.22,30.342,0.111,0.32,-0.101,0.147315855181024,0.162408759124088,0.100620221101721,0.253244120032441,0.395138121546961,0.208441995820452,0.286406490628404,0.274794929157345,0.341968911917098,0.556189198255619,0.386749259359009
"E01004771","E08000001","Bolton 003C","Bolton",28855,9,27616,9,29247,9,30511,10,33121,10,26300,8,27995,9,19139,6,20561,7,19181,6,15137,5,24286,8,6.801,0.107,0.068,3.044,-0.551,-0.211,12.019,14.896,0.14,0.054,-1.738,0.159,30.656,-1.02,0.03,-0.468,0.119850187265918,0.111313868613139,0.0349288639537912,0.287712895377129,0.384309392265193,0.155005958446314,0.180745971528378,0.162938105891126,0.236614853195164,0.458906407245891,0.287907352545112
"E01004772","E08000001","Bolton 005C","Bolton",5714,2,3755,2,8138,3,9417,3,12862,4,6630,2,23990,8,18822,6,15860,5,28462,9,23750,8,32392,10,36.251,0.446,0.268,28.983,0.859,0.728,15.121,5.854,0.636,0.299,0.249,0.327,30.95,-0.003,-0.375,-1.169,0.543071161048689,0.476277372262774,0.341950145586251,0.57360097323601,0.591823204419889,0.208580162691491,0.0675355895278519,0.533370618941089,0.526770293609672,0.323045957732305,0.0991112308106652
"E01004773","E08000001","Bolton 003D","Bolton",19972,6,13795,5,19079,6,19657,6,27531,9,12794,4,30586,10,25169,8,19532,6,9965,3,9628,3,8741,3,14.394,0.199,0.089,13.227,-0.252,0.304,9.509,28.757,0.36,0.126,-0.789,0.258,24.488,-0.797,0.354,0.43,0.234706616729089,0.14963503649635,0.155457708969533,0.348337388483374,0.498121546961326,0.111656102657985,0.354292654221287,0.339858314690529,0.407599309153713,0.56759476685676,0.529760301642876
"E01004774","E08000001","Bolton 005D","Bolton",7568,3,5430,2,8072,3,11990,4,15354,5,8876,3,26896,8,26169,8,13882,5,6932,3,6184,2,9582,3,31.549,0.368,0.194,23.836,0.687,0.944,12.893,34.892,0.576,0.301,0.073,0.298,23.279,0.443,0.609,0.371,0.445692883895131,0.341240875912409,0.281028809506901,0.538726682887267,0.639558011049724,0.170100689107269,0.431105935970151,0.500559284116331,0.476683937823834,0.653136531365314,0.513870185833558
"E01004775","E08000001","Bolton 014A","Bolton",28488,9,27507,9,27565,9,29921,9,28814,9,28873,9,16835,5,8770,3,21600,7,16524,5,18963,6,8573,3,7.13,0.094,0.06,3.567,-0.555,-0.507,20.136,18.323,0.141,0.064,-0.918,0.139,42.47,-1.257,-0.152,0.442,0.103620474406991,0.0967153284671533,0.0411192386904339,0.286901865369019,0.318895027624309,0.295193519973748,0.223653732987767,0.315809097688292,0.202072538860104,0.397853069439785,0.532992189604094
"E01004776","E08000001","Bolton 031A","Bolton",12752,4,14044,5,9799,3,14501,5,16654,5,11756,4,12489,4,13675,5,10216,4,10818,4,8648,3,14136,5,22.543,0.237,0.157,19.829,0.586,-0.487,23.583,27.217,0.354,0.262,-0.015,0.268,36.071,1.4,0.418,0.079,0.282147315855181,0.273722627737226,0.233600833274152,0.518248175182482,0.323314917127072,0.354726170532461,0.335011080644555,0.484153616703952,0.424870466321244,0.589064072458906,0.435227578777269
"E01004777","E08000001","Bolton 004A","Bolton",9499,3,10064,3,8360,3,12538,4,11413,4,13052,4,21083,7,22498,7,11032,4,8540,3,8054,3,8664,3,27.67,0.296,0.169,22.878,0.669,0.8,17.151,31.552,0.447,0.294,0.355,0.256,27.391,1.175,0.462,0.436,0.355805243445693,0.295620437956204,0.269689652723528,0.53507704785077,0.607734806629834,0.243640006217509,0.389287458212823,0.553131991051454,0.404145077720207,0.603824220060382,0.531376245623485
"E01004778","E08000001","Bolton 009A","Bolton",23692,8,26520,8,21627,7,22442,7,22089,7,20825,7,16528,5,7342,3,25135,8,20975,7,18376,6,20828,7,11.08,0.103,0.093,10.262,0.207,-0.694,20.362,12.894,0.154,0.103,-0.369,0.195,45.147,-2.079,-0.125,-0.28,0.114856429463171,0.156934306569343,0.120363137087802,0.441403081914031,0.277569060773481,0.299096734080586,0.155679925878626,0.418158090976883,0.298791018998273,0.406910432740691,0.338540263937517
"E01004779","E08000001","Bolton 007A","Bolton",14132,5,13976,5,12642,4,18163,6,18917,6,15988,5,16483,5,15820,5,11757,4,15396,5,15693,5,10666,4,20.736,0.24,0.142,14.974,0.628,-0.007,20.403,19.854,0.355,0.21,-0.165,0.23,33.88,0.975,0.002,0.296,0.285892634207241,0.246350364963504,0.176135691120422,0.52676399026764,0.42939226519337,0.299804839294658,0.242822622043596,0.456189410887398,0.359240069084629,0.449513586044951,0.493670886075949
"E01004780","E08000001","Bolton 009B","Bolton",24148,8,25579,8,25339,8,29258,9,28715,9,27566,9,12057,4,8248,3,16298,5,12908,4,13785,5,8219,3,10.697,0.105,0.081,4.13,-0.476,0.035,23.971,23.597,0.166,0.077,-0.909,0.15,43.375,-0.095,0.101,0.473,0.117353308364544,0.135036496350365,0.0477830646497645,0.302919708029197,0.438674033149171,0.361427263777828,0.289686862236913,0.317486950037286,0.221070811744387,0.482723918148272,0.541341233503905
"E01004781","E08000001","Bolton 007B","Bolton",23326,7,21086,7,21094,7,25213,8,25513,8,22765,7,23947,8,19185,6,15512,5,15769,5,15870,5,11246,4,11.373,0.152,0.088,7.631,-0.037,-0.262,15.154,19.327,0.228,0.107,-0.617,0.182,30.607,0.073,-0.008,0.257,0.176029962546816,0.147810218978102,0.0892218829155126,0.391930251419302,0.373038674033149,0.209150101034524,0.236224317319611,0.371923937360179,0.276338514680484,0.446159007044616,0.483167250201993
"E01004782","E08000001","Bolton 009C","Bolton",14570,5,17341,6,10350,4,15191,5,17042,6,12561,4,12732,4,7664,3,18451,6,24058,8,20304,7,26391,8,20.175,0.236,0.13,18.836,0.56,0.122,23.38,9.721,0.289,0.251,-0.042,0.26,44.499,-0.573,-0.215,-0.593,0.280898876404494,0.224452554744526,0.221847406670928,0.512976480129765,0.457900552486188,0.351220186179859,0.115952372009165,0.479120059656972,0.411053540587219,0.376719221737672,0.254241852949098
"E01004783","E08000001","Bolton 009D","Bolton",21946,7,18893,6,28642,9,24332,8,26082,8,20757,7,14193,5,7003,3,22368,7,17232,6,16306,5,14151,5,12.547,0.116,0.099,8.422,0.143,-0.3,22.191,17.37,0.262,0.058,-0.663,0.196,45.865,-1.423,-0.028,0.079,0.131086142322097,0.167883211678832,0.0985843808441635,0.428426601784266,0.364640883977901,0.330685134971762,0.211721694274374,0.363348247576436,0.300518134715026,0.439449849043945,0.435227578777269
"E01004784","E08000001","Bolton 006A","Bolton",31437,10,30491,10,33059,10,30605,10,30313,9,28962,9,23742,8,10816,4,26971,8,30200,9,26376,8,31451,10,4.482,0.061,0.072,2.957,-0.468,-1.272,15.321,4.395,0.099,0.026,-1.098,0.139,39.493,-2.554,-0.505,-1.025,0.0624219725343321,0.118613138686131,0.0338991075444452,0.304541768045418,0.149834254143646,0.212034334467453,0.0492681766392468,0.282252050708427,0.202072538860104,0.279436430727944,0.137893886345273
"E01004785","E08000001","Bolton 006B","Bolton",11461,4,10040,3,19679,6,12833,4,8788,3,17712,6,18693,6,12195,4,17606,6,27120,9,25489,8,23285,7,24.456,0.264,0.148,22.345,0.418,1.271,18.799,6.978,0.447,0.12,0.566,0.217,37.729,-0.39,-0.46,-0.411,0.31585518102372,0.257299270072993,0.263380915181213,0.484184914841849,0.711823204419889,0.27210238165144,0.0816086341384016,0.592468307233408,0.336787564766839,0.294532036229453,0.303258820360894
"E01004786","E08000001","Bolton 006C","Bolton",23595,7,26984,8,21178,7,25745,8,27840,9,21729,7,25157,8,12941,4,24821,8,23142,7,18013,6,30554,10,11.157,0.111,0.086,7.168,0.166,0.408,14.272,10.61,0.147,0.107,-0.818,0.189,36.85,-1.999,-0.109,-0.918,0.124843945068664,0.144160583941606,0.0837416850129016,0.4330900243309,0.521104972375691,0.19391720350253,0.127083098573915,0.334451901565996,0.288428324697755,0.412277759141228,0.166711553999461
"E01004787","E08000001","Bolton 013A","Bolton",295,1,234,1,1597,1,3063,1,4248,2,2534,1,9242,3,15862,5,6594,2,27833,9,24419,8,28105,9,69.772,0.671,0.41,50.929,1.952,1.941,26.703,6.38,0.915,0.559,1.037,0.399,33.843,2.65,-0.408,-0.709,0.823970037453184,0.735401459854015,0.601709158913903,0.795214922952149,0.859889502762431,0.408611250237474,0.0741213737495148,0.68027591349739,0.651122625215889,0.311975847031198,0.223000269323997
"E01004788","E08000001","Bolton 002A","Bolton",32202,10,31666,10,32638,10,30328,9,31263,10,27439,9,27969,9,13470,4,29071,9,22771,7,18222,6,28023,9,3.603,0.041,0.062,3.219,-0.695,-1.301,12.038,11.016,0.078,0.031,-1.246,0.151,36.299,-3.193,-0.118,-0.704,0.0374531835205993,0.10036496350365,0.0370002130530502,0.258515815085158,0.143425414364641,0.15533410476503,0.132166422516871,0.254660700969426,0.22279792746114,0.409258638040926,0.224346889307837
"E01004789","E08000001","Bolton 006D","Bolton",29582,9,33033,10,31653,10,29012,9,29404,9,26427,8,20293,7,8496,3,27642,9,12553,4,8183,3,25026,8,6.143,0.04,0.054,4.339,-0.609,-0.421,17.697,24.212,0.048,0.039,-0.983,0.158,42.899,-2.741,0.454,-0.51,0.0362047440699126,0.0857664233576642,0.0502568472883081,0.27595296025953,0.337900552486188,0.253069895165887,0.297386971165283,0.303691275167785,0.234887737478411,0.601140556860114,0.276595744680851
"E01004790","E08000001","Bolton 002B","Bolton",19473,6,20592,7,24612,8,23404,7,19049,6,26285,8,28350,9,17977,6,22493,7,7070,3,5300,2,14205,5,14.862,0.14,0.105,9.3,-0.219,0.562,11.711,34.581,0.236,0.081,-0.174,0.159,31.746,-1.451,0.683,0.075,0.161048689138577,0.178832116788321,0.10897663518216,0.355028386050284,0.555138121546961,0.149686533911331,0.427212059747837,0.454511558538404,0.236614853195164,0.677960415967796,0.434150282790197
"E01004791","E08000001","Bolton 006E","Bolton",24182,8,27888,9,19580,6,26946,8,25248,8,26299,8,24152,8,13070,4,23005,7,12151,4,9032,3,18107,6,10.667,0.118,0.091,6.119,-0.109,-0.403,15.02,24.888,0.136,0.121,-0.595,0.159,36.71,-1.571,0.393,-0.135,0.133583021223471,0.153284671532847,0.0713254266979145,0.377331711273317,0.341878453038674,0.20683580594463,0.305850830735329,0.376025354213274,0.236614853195164,0.580677624958068,0.377592243468893
"E01004792","E08000001","Bolton 006F","Bolton",31074,10,31372,10,31378,10,28842,9,28750,9,26719,8,23262,7,9430,3,29876,9,20822,7,17964,6,21448,7,4.834,0.053,0.068,4.47,-0.768,-1.007,15.674,13.052,0.084,0.041,-0.912,0.156,41.504,-3.475,-0.107,-0.311,0.0524344569288389,0.111313868613139,0.0518074000426106,0.243714517437145,0.208397790055249,0.218130947652027,0.15765816524559,0.316927665920955,0.231433506044905,0.412948674941295,0.330191220037705
"E01004793","E08000001","Bolton 013B","Bolton",1383,1,1540,1,6864,3,2346,1,2492,1,2915,1,13546,5,18389,6,8181,3,21593,7,25123,8,11056,4,56.592,0.549,0.33,54.939,1.397,1.738,22.706,12.206,0.745,0.333,1.307,0.39,31.334,2.052,-0.442,0.269,0.671660424469413,0.589416058394161,0.649172643988353,0.682684509326845,0.815027624309392,0.339579627294865,0.14706582028071,0.730611483967189,0.635578583765112,0.300570278430057,0.48639913816321
"E01004794","E08000001","Bolton 013C","Bolton",679,1,1241,1,3422,2,2273,1,4061,2,1643,1,13921,5,14090,5,11038,4,22817,7,23912,8,14974,5,63.549,0.645,0.391,55.49,1.447,1.477,22.396,10.963,0.767,0.451,1.064,0.424,35.648,1.171,-0.383,0.033,0.791510611735331,0.700729927007299,0.655694434580877,0.692822384428224,0.757348066298343,0.334225661042124,0.131502835893776,0.68530947054437,0.694300518134715,0.320362294532036,0.422838674925936
"E01004795","E08000001","Bolton 013D","Bolton",3701,2,6510,2,8839,3,7858,3,9457,3,6388,2,14457,5,17043,6,9448,3,26197,8,24698,8,22118,7,43.499,0.386,0.296,32.783,1.653,1.083,21.983,7.825,0.543,0.283,0.51,0.33,32.676,1.638,-0.421,-0.349,0.468164794007491,0.527372262773723,0.38692801174159,0.734590429845904,0.670276243093923,0.327092796324761,0.0922134996056042,0.582028337061894,0.531951640759931,0.307614894330762,0.319956908160517
"E01004796","E08000001","Bolton 019A","Bolton",9709,3,16996,6,18313,6,13643,5,17860,6,9796,3,24707,8,22178,7,14057,5,5561,2,5395,2,7765,3,27.296,0.224,0.169,21.06,0.535,1.24,14.622,38.313,0.297,0.133,-0.095,0.288,27.699,0.395,0.676,0.514,0.265917602996255,0.295620437956204,0.248171294652368,0.507907542579075,0.704972375690608,0.199962004110464,0.473938574415606,0.46923937360179,0.459412780656304,0.675612210667561,0.552383517371398
"E01004797","E08000001","Bolton 013E","Bolton",2937,1,5996,2,5951,2,3407,2,7171,3,1700,1,21241,7,20301,7,12366,4,13436,4,12827,4,11208,4,47.036,0.461,0.288,49.141,1.153,1.453,17.044,22.674,0.558,0.359,0.712,0.422,29.533,0.813,0.154,0.259,0.561797752808989,0.512773722627737,0.580545889259759,0.633211678832117,0.752044198895028,0.241792024317369,0.278130438593196,0.619686800894855,0.690846286701209,0.50050318685005,0.483705898195529
"E01004798","E08000001","Bolton 019B","Bolton",5045,2,8294,3,11962,4,5229,2,4477,2,6260,2,14656,5,19252,6,8470,3,16214,5,12392,4,21821,7,38.347,0.361,0.221,41.044,0.93,1.544,21.812,18.741,0.493,0.221,1.007,0.332,30.543,1.957,0.178,-0.331,0.436953807740325,0.390510948905109,0.484707525507185,0.587996755879967,0.772154696132597,0.324139479456313,0.228887302958595,0.674683072334079,0.535405872193437,0.508554176450855,0.324804740102343
"E01004799","E08000001","Bolton 019C","Bolton",23719,8,28305,9,27462,9,19853,6,24358,8,14785,5,22455,7,17079,6,15812,5,23229,7,18046,6,30802,10,11.056,0.086,0.097,13,0.228,-0.228,16.245,10.526,0.13,0.064,-0.529,0.24,32.636,0.009,-0.111,-0.945,0.0936329588014981,0.164233576642336,0.15277087328078,0.44566098945661,0.380552486187845,0.227992608072399,0.12603137637882,0.388329604772558,0.376511226252159,0.411606843341161,0.159439806086722
"E01004800","E08000001","Bolton 019D","Bolton",22159,7,26176,8,24218,8,20388,7,21573,7,17602,6,15641,5,13351,4,13187,4,24261,8,18835,6,32288,10,12.373,0.106,0.099,12.418,0.339,-0.384,21.022,9.532,0.158,0.084,-0.339,0.218,36.412,0.606,-0.146,-1.151,0.118601747815231,0.167883211678832,0.145882157990673,0.468167072181671,0.346077348066298,0.310495500941262,0.113585997070202,0.423750932140194,0.338514680483592,0.399865816839987,0.103959062752491
"E01004801","E08000001","Bolton 019E","Bolton",362,1,1979,1,3399,2,600,1,384,1,2739,1,11138,4,16073,5,7778,3,21970,7,20153,6,19673,6,68.471,0.628,0.405,70.142,1.211,2.43,24.766,11.827,0.72,0.452,1.975,0.394,33.637,2.195,-0.207,-0.216,0.770287141073658,0.726277372262774,0.829119617451412,0.644971613949716,0.967955801104972,0.375157596587278,0.142320549900462,0.855145413870246,0.642487046632124,0.37940288493794,0.355776999730676
"E01004802","E08000001","Bolton 010A","Bolton",1626,1,616,1,1709,1,3807,2,4541,2,3457,2,25050,8,24874,8,12801,4,17685,6,14780,5,19402,6,54.783,0.609,0.323,47.125,1.4,1.312,14.369,16.788,0.833,0.551,0.999,0.378,24.825,0.699,0.048,-0.201,0.746566791510612,0.576642335766423,0.556683947636295,0.683292781832928,0.720883977900552,0.195592476813872,0.204434761922648,0.673191648023863,0.614853195164076,0.464944649446495,0.359816859682198
"E01004803","E08000001","Bolton 001B","Bolton",30127,9,32204,10,30052,9,31994,10,30438,10,32056,10,13106,4,7134,3,20343,7,14068,5,9910,3,23360,7,5.689,0.049,0.051,1.76,-0.791,-0.97,23.06,21.741,0.067,0.05,-1.117,0.103,45.571,-0.975,0.335,-0.414,0.0474406991260924,0.0802919708029197,0.0197310797055133,0.239051094890511,0.216574585635359,0.345693511338319,0.266448809926254,0.278709917971663,0.139896373056995,0.561221066756122,0.30245084837059
"E01004804","E08000001","Bolton 001C","Bolton",32025,10,33033,10,30859,10,32764,10,32419,10,32045,10,19725,6,8799,3,25815,8,29183,9,26374,8,27714,9,3.823,0.041,0.054,1.049,-0.645,-0.598,18.087,5.257,0.048,0.045,-1.491,0.104,42.437,-2.244,-0.505,-0.683,0.0374531835205993,0.0857664233576642,0.011315484222238,0.268653690186537,0.29878453038674,0.259805530129013,0.0600608496412876,0.208985831469053,0.141623488773748,0.279436430727944,0.230002693239968
"E01004805","E08000001","Bolton 002C","Bolton",30811,10,28647,9,27000,8,30777,10,29791,9,29832,9,18295,6,12265,4,17074,6,30982,10,27473,9,31943,10,5.068,0.088,0.056,2.819,-0.8,-0.322,19.08,3.644,0.125,0.067,-1.026,0.131,37.663,-0.272,-0.562,-1.094,0.0961298377028714,0.0894160583941606,0.0322657008261724,0.237226277372263,0.359779005524862,0.276955492996667,0.0398652793950093,0.295674869500373,0.188255613126079,0.260315330426032,0.119310530568274
"E01004806","E08000001","Bolton 002D","Bolton",26829,8,27722,9,27017,9,29854,9,28606,9,28945,9,25509,8,17071,6,19310,6,21311,7,20085,6,17904,6,8.506,0.085,0.079,3.621,-0.096,0.151,14.009,12.515,0.138,0.067,-0.897,0.139,32.64,-0.75,-0.204,-0.123,0.0923845193508115,0.131386861313869,0.0417583978410624,0.379967558799676,0.464309392265193,0.18937496761714,0.150934655498379,0.31972408650261,0.202072538860104,0.380409258638041,0.38082413143011
"E01004807","E08000001","Bolton 001D","Bolton",29419,9,29134,9,27265,9,29429,9,28726,9,27937,9,20372,7,14928,5,15971,5,20204,6,16445,5,23857,8,6.294,0.073,0.059,3.975,-0.253,-0.591,17.64,13.719,0.119,0.066,-0.91,0.147,34.772,-0.027,-0.034,-0.441,0.0774032459425718,0.0948905109489051,0.0459484411618493,0.348134630981346,0.300331491712707,0.252085456209737,0.166009340294733,0.317300521998509,0.215889464594128,0.437437101643744,0.295179100457851
"E01004808","E08000001","Bolton 001E","Bolton",32303,10,32125,10,31300,10,31392,10,31849,10,29270,9,24863,8,12749,4,24650,8,23600,7,19715,6,26477,8,3.491,0.043,0.043,2.277,-0.475,-0.977,14.516,10.162,0.069,0.042,-1.361,0.136,37.064,-1.958,-0.187,-0.599,0.0399500624219725,0.0656934306569343,0.0258504367587529,0.303122465531225,0.215027624309392,0.198131293069204,0.121473913533411,0.233221476510067,0.196891191709845,0.386112042938611,0.252625908968489
"E01004809","E08000001","Bolton 003E","Bolton",12847,4,16546,5,8947,3,17907,6,17904,6,16438,5,17541,6,17985,6,11089,4,9264,3,6086,2,20694,7,22.434,0.217,0.138,15.282,0.483,0.773,19.614,29.984,0.305,0.28,-0.098,0.227,31.742,1.156,0.617,-0.273,0.257178526841448,0.239051094890511,0.179781265535118,0.497364152473641,0.601767955801105,0.286178131638486,0.36965531057106,0.468680089485459,0.35405872193437,0.655820194565582,0.340425531914894
"E01004810","E08000001","Bolton 002E","Bolton",29411,9,23211,7,30553,10,30019,9,32363,10,25891,8,28578,9,17796,6,23125,7,17995,6,17429,6,13955,5,6.305,0.1,0.061,3.484,-0.525,-0.341,11.512,16.419,0.197,0.046,-1.477,0.162,31.903,-1.598,-0.08,0.088,0.111111111111111,0.0985401459854015,0.0401368274033568,0.292984590429846,0.355580110497238,0.146249632994249,0.199814696565626,0.211595824011931,0.241796200345423,0.422006038242201,0.437651494748182
"E01004811","E08000001","Bolton 022A","Bolton",815,1,556,1,3548,2,1086,1,6123,2,227,1,6290,2,28111,9,2443,1,4306,2,4371,2,7283,3,62.017,0.619,0.317,64.234,1.149,1.222,30.513,41.837,0.843,0.446,0.819,0.531,20.738,4.799,0.768,0.555,0.759051186017478,0.565693430656934,0.759190871860427,0.632400648824006,0.700994475138121,0.474413222569558,0.518060824600283,0.639634601043997,0.879101899827288,0.706474337470647,0.56342580123889
"E01004812","E08000001","Bolton 022B","Bolton",3255,1,3244,1,4223,2,2098,1,11488,4,274,1,8098,3,24530,8,3641,2,5338,2,6201,2,5157,2,45.542,0.524,0.214,56.583,0.793,0.716,28.059,38.87,0.656,0.419,0.35,0.523,25.198,4.056,0.607,0.764,0.640449438202247,0.377737226277372,0.668631489240821,0.56021897810219,0.589171270718232,0.4320305348785,0.480912494209268,0.552199850857569,0.865284974093264,0.652465615565247,0.619714516563426
"E01004813","E08000001","Bolton 022C","Bolton",3861,2,4758,2,7323,3,5113,2,18853,6,1201,1,11859,4,27458,9,4693,2,3686,2,3123,1,11013,4,42.872,0.477,0.22,41.496,0.788,1.077,24.147,43.952,0.599,0.32,-0.161,0.443,21.64,3.524,0.895,0.271,0.581772784019975,0.388686131386861,0.490057524323557,0.559205190592052,0.668950276243094,0.364466934940675,0.544541687012483,0.456935123042506,0.727115716753022,0.749077490774908,0.486937786156746
"E01004814","E08000001","Bolton 027A","Bolton",4230,2,6274,2,5822,2,6324,2,10822,4,3679,2,11535,4,24613,8,5138,2,1547,1,2601,1,3386,2,41.433,0.4,0.216,37.108,0.799,1.158,24.428,54.065,0.549,0.363,0.4,0.374,25.115,3.298,0.958,1.001,0.485642946317104,0.381386861313869,0.438119925194707,0.561435523114355,0.686850828729282,0.369320046285902,0.671161527000463,0.561521252796421,0.607944732297064,0.770211338477021,0.683544303797468
"E01004815","E08000001","Bolton 022D","Bolton",5429,2,5444,2,7677,3,5616,2,19126,6,1483,1,12775,4,27087,9,5140,2,5645,2,4211,2,13950,5,37.096,0.448,0.198,39.512,0.293,0.954,23.341,38.088,0.576,0.31,-0.179,0.43,22.157,3.296,0.784,0.089,0.545568039950062,0.348540145985401,0.466574343678243,0.458840227088402,0.641767955801105,0.350546622683546,0.471121461393031,0.453579418344519,0.704663212435233,0.711841663871184,0.43792081874495
"E01004816","E08000001","Bolton 029A","Bolton",10407,4,17951,6,6760,3,6346,2,15561,5,2477,1,6856,3,24666,8,3108,1,9652,3,6799,3,17875,6,26.152,0.279,0.136,37.036,0.278,0.032,29.605,29.303,0.279,0.336,0.06,0.4,25.056,4.39,0.559,-0.121,0.33458177278402,0.235401459854015,0.437267712993869,0.455798864557989,0.438011049723757,0.458731282706689,0.361128848489401,0.49813571961223,0.652849740932643,0.636363636363636,0.381362779423647
"E01004817","E08000001","Bolton 022E","Bolton",5001,2,5940,2,7352,3,9714,3,15259,5,5916,2,16229,5,27138,9,6627,2,5898,2,8710,3,2808,1,38.462,0.344,0.198,28.302,0.898,2.079,20.603,37.464,0.559,0.319,0.08,0.337,22.085,2.633,0.414,1.104,0.415730337078652,0.348540145985401,0.333889638519992,0.581508515815085,0.890386740331492,0.303259011070621,0.463308667943758,0.50186428038777,0.544041450777202,0.587722240858772,0.711284675464584
"E01004818","E08000001","Bolton 017A","Bolton",1681,1,3215,1,4256,2,5069,2,10969,4,2299,1,17059,6,28453,9,6681,2,847,1,1719,1,3034,1,54.313,0.514,0.299,41.649,1.144,1.487,19.98,60.243,0.657,0.418,0.39,0.405,20.27,2.611,1.087,1.062,0.627965043695381,0.532846715328467,0.491868475250337,0.631386861313869,0.759558011049724,0.292499265988498,0.748513190349197,0.55965697240865,0.661485319516408,0.813485407581348,0.699973067600323
"E01004819","E08000001","Bolton 017B","Bolton",7886,3,7444,3,15876,5,13790,5,21564,7,8228,3,21470,7,20467,7,12439,4,5796,2,4193,2,14896,5,30.819,0.322,0.195,20.852,0.924,0.652,16.887,37.711,0.516,0.161,-0.338,0.306,29.362,0.794,0.786,0.037,0.388264669163546,0.343065693430657,0.245709348294392,0.586780210867802,0.575027624309392,0.239080499473239,0.466401232017429,0.423937360178971,0.490500863557858,0.712512579671251,0.423915970913008
"E01004820","E08000001","Bolton 011A","Bolton",704,1,1974,1,683,1,2100,1,13780,5,160,1,13635,5,30160,9,4895,2,6023,2,5077,2,10647,4,63.291,0.648,0.334,56.559,1.311,1.64,22.64,37.139,0.72,0.656,0.182,0.543,17.351,3.419,0.703,0.297,0.795255930087391,0.596715328467153,0.668347418507208,0.665247364152474,0.793370165745856,0.338439750608798,0.459239504688928,0.520879940343028,0.899827288428325,0.684669573968467,0.493940210072717
"E01004822","E08000001","Bolton 016B","Bolton",2012,1,2607,1,863,1,4043,2,23687,8,446,1,15847,5,29872,9,5842,2,9090,3,10732,4,5277,2,52.107,0.585,0.313,46.005,1.071,0.983,20.87,30.35,0.686,0.631,-0.48,0.498,17.853,2.956,0.28,0.75,0.716604244694132,0.558394160583942,0.543427313401037,0.616585563665856,0.64817679558011,0.30787033039153,0.374237814421115,0.397464578672632,0.822107081174439,0.542770882254277,0.615943980608672
"E01004823","E08000001","Bolton 016C","Bolton",228,1,2307,1,492,1,1864,1,10929,4,215,1,10533,4,30297,9,3768,2,11470,4,17973,6,2847,1,71.719,0.668,0.398,58.125,1.92,1.908,25.317,26.124,0.701,0.697,0.393,0.533,17.1,3.988,-0.107,1.098,0.820224719101124,0.713503649635036,0.686883033875435,0.788726682887267,0.852596685082873,0.384673839830055,0.321326171606005,0.560216256524981,0.882556131260795,0.412948674941295,0.709668731483975
